/work/09080/lkaiser/maverick2/run_1/bash_scripts
c228-107.maverick2.tacc.utexas.edu
Wed Sep 14 16:27:24 CDT 2022
start training tiramisu
gpu available: True
epoch 1: loss: 0.05775 | coarse loss: 0.02802 
epoch 33: loss: 0.01973 | coarse loss: 0.02812 
epoch 34: loss: 0.01966 | coarse loss: 0.02820 
epoch 35: loss: 0.01957 | coarse loss: 0.02808 
epoch 36: loss: 0.01933 | coarse loss: 0.02783 
epoch 37: loss: 0.01932 | coarse loss: 0.02796 
epoch 38: loss: 0.01930 | coarse loss: 0.02794 
epoch 39: loss: 0.01928 | coarse loss: 0.02797 
epoch 40: loss: 0.01916 | coarse loss: 0.02783 
epoch 41: loss: 0.01914 | coarse loss: 0.02787 
epoch 42: loss: 0.01921 | coarse loss: 0.02803 
epoch 43: loss: 0.01916 | coarse loss: 0.02801 
epoch 44: loss: 0.01902 | coarse loss: 0.02787 
epoch 45: loss: 0.01896 | coarse loss: 0.02796 
epoch 46: loss: 0.01891 | coarse loss: 0.02783 
epoch 47: loss: 0.01897 | coarse loss: 0.02799 
epoch 48: loss: 0.01890 | coarse loss: 0.02783 
epoch 49: loss: 0.01887 | coarse loss: 0.02798 
epoch 50: loss: 0.01880 | coarse loss: 0.02789 
epoch 51: loss: 0.01891 | coarse loss: 0.02812 
epoch 52: loss: 0.01868 | coarse loss: 0.02783 
epoch 53: loss: 0.01874 | coarse loss: 0.02801 
epoch 54: loss: 0.01886 | coarse loss: 0.02820 
epoch 55: loss: 0.01860 | coarse loss: 0.02792 
epoch 56: loss: 0.01870 | coarse loss: 0.02806 
epoch 57: loss: 0.01866 | coarse loss: 0.02809 
epoch 58: loss: 0.01852 | coarse loss: 0.02791 
epoch 59: loss: 0.01848 | coarse loss: 0.02788 
epoch 60: loss: 0.01857 | coarse loss: 0.02802 
epoch 61: loss: 0.01845 | coarse loss: 0.02795 
epoch 62: loss: 0.01842 | coarse loss: 0.02788 
epoch 63: loss: 0.01834 | coarse loss: 0.02788 
epoch 64: loss: 0.01833 | coarse loss: 0.02787 
epoch 65: loss: 0.01831 | coarse loss: 0.02791 
epoch 66: loss: 0.01832 | coarse loss: 0.02793 
epoch 67: loss: 0.01836 | coarse loss: 0.02796 
epoch 68: loss: 0.01824 | coarse loss: 0.02786 
epoch 69: loss: 0.01826 | coarse loss: 0.02797 
epoch 70: loss: 0.01815 | coarse loss: 0.02783 
epoch 71: loss: 0.01827 | coarse loss: 0.02795 
epoch 72: loss: 0.01819 | coarse loss: 0.02801 
epoch 73: loss: 0.01826 | coarse loss: 0.02805 
epoch 74: loss: 0.01809 | coarse loss: 0.02783 
epoch 75: loss: 0.01815 | coarse loss: 0.02798 
epoch 76: loss: 0.01804 | coarse loss: 0.02783 
epoch 77: loss: 0.01803 | coarse loss: 0.02783 
epoch 78: loss: 0.01806 | coarse loss: 0.02791 
epoch 79: loss: 0.01804 | coarse loss: 0.02792 
epoch 80: loss: 0.01797 | coarse loss: 0.02783 
epoch 81: loss: 0.01798 | coarse loss: 0.02791 
epoch 82: loss: 0.01792 | coarse loss: 0.02783 
epoch 83: loss: 0.01800 | coarse loss: 0.02797 
epoch 84: loss: 0.01816 | coarse loss: 0.02817 
epoch 85: loss: 0.01794 | coarse loss: 0.02796 
epoch 86: loss: 0.01807 | coarse loss: 0.02819 
epoch 87: loss: 0.01785 | coarse loss: 0.02783 
epoch 88: loss: 0.01787 | coarse loss: 0.02788 
epoch 89: loss: 0.01785 | coarse loss: 0.02790 
epoch 90: loss: 0.01785 | coarse loss: 0.02797 
epoch 91: loss: 0.01794 | coarse loss: 0.02797 
epoch 92: loss: 0.01776 | coarse loss: 0.02783 
epoch 93: loss: 0.01784 | coarse loss: 0.02797 
epoch 94: loss: 0.01784 | coarse loss: 0.02798 
epoch 95: loss: 0.01779 | coarse loss: 0.02794 
epoch 96: loss: 0.01778 | coarse loss: 0.02788 
epoch 97: loss: 0.01779 | coarse loss: 0.02806 
epoch 98: loss: 0.01768 | coarse loss: 0.02783 
epoch 99: loss: 0.01780 | coarse loss: 0.02799 
epoch 100: loss: 0.01788 | coarse loss: 0.02820 
epoch 101: loss: 0.01768 | coarse loss: 0.02783 
epoch 102: loss: 0.01781 | coarse loss: 0.02812 
epoch 103: loss: 0.01769 | coarse loss: 0.02790 
epoch 104: loss: 0.01763 | coarse loss: 0.02783 
epoch 105: loss: 0.01786 | coarse loss: 0.02818 
epoch 106: loss: 0.01772 | coarse loss: 0.02803 
epoch 107: loss: 0.01772 | coarse loss: 0.02804 
epoch 108: loss: 0.01769 | coarse loss: 0.02803 
epoch 109: loss: 0.01757 | coarse loss: 0.02783 
epoch 110: loss: 0.01763 | coarse loss: 0.02795 
epoch 111: loss: 0.01786 | coarse loss: 0.02830 
epoch 112: loss: 0.01759 | coarse loss: 0.02794 
epoch 113: loss: 0.01764 | coarse loss: 0.02797 
epoch 114: loss: 0.01758 | coarse loss: 0.02791 
epoch 115: loss: 0.01757 | coarse loss: 0.02794 
epoch 116: loss: 0.01766 | coarse loss: 0.02811 
epoch 117: loss: 0.01761 | coarse loss: 0.02798 
epoch 118: loss: 0.01757 | coarse loss: 0.02799 
epoch 119: loss: 0.01748 | coarse loss: 0.02783 
epoch 120: loss: 0.01766 | coarse loss: 0.02814 
epoch 121: loss: 0.01746 | coarse loss: 0.02783 
epoch 122: loss: 0.01759 | coarse loss: 0.02803 
epoch 123: loss: 0.01753 | coarse loss: 0.02797 
epoch 124: loss: 0.01755 | coarse loss: 0.02804 
epoch 125: loss: 0.01740 | coarse loss: 0.02783 
epoch 126: loss: 0.01747 | coarse loss: 0.02794 
epoch 127: loss: 0.01750 | coarse loss: 0.02798 
epoch 128: loss: 0.01740 | coarse loss: 0.02783 
epoch 129: loss: 0.01744 | coarse loss: 0.02795 
epoch 130: loss: 0.01749 | coarse loss: 0.02808 
epoch 131: loss: 0.01749 | coarse loss: 0.02803 
epoch 132: loss: 0.01737 | coarse loss: 0.02787 
epoch 133: loss: 0.01734 | coarse loss: 0.02783 
epoch 134: loss: 0.01734 | coarse loss: 0.02783 
epoch 135: loss: 0.01743 | coarse loss: 0.02800 
epoch 136: loss: 0.01735 | coarse loss: 0.02787 
epoch 137: loss: 0.01731 | coarse loss: 0.02787 
epoch 138: loss: 0.01752 | coarse loss: 0.02814 
epoch 139: loss: 0.01743 | coarse loss: 0.02806 
epoch 140: loss: 0.01742 | coarse loss: 0.02806 
epoch 141: loss: 0.01734 | coarse loss: 0.02792 
epoch 142: loss: 0.01731 | coarse loss: 0.02783 
epoch 143: loss: 0.01731 | coarse loss: 0.02787 
epoch 144: loss: 0.01736 | coarse loss: 0.02793 
epoch 145: loss: 0.01747 | coarse loss: 0.02815 
epoch 146: loss: 0.01730 | coarse loss: 0.02791 
epoch 147: loss: 0.01723 | coarse loss: 0.02783 
epoch 148: loss: 0.01725 | coarse loss: 0.02783 
epoch 149: loss: 0.01731 | coarse loss: 0.02798 
epoch 150: loss: 0.01729 | coarse loss: 0.02795 
epoch 151: loss: 0.01737 | coarse loss: 0.02809 
epoch 152: loss: 0.01728 | coarse loss: 0.02794 
epoch 153: loss: 0.01731 | coarse loss: 0.02802 
epoch 154: loss: 0.01724 | coarse loss: 0.02790 
epoch 155: loss: 0.01718 | coarse loss: 0.02783 
epoch 156: loss: 0.01729 | coarse loss: 0.02794 
epoch 157: loss: 0.01716 | coarse loss: 0.02783 
epoch 158: loss: 0.01724 | coarse loss: 0.02796 
epoch 159: loss: 0.01727 | coarse loss: 0.02797 
epoch 160: loss: 0.01716 | coarse loss: 0.02786 
epoch 161: loss: 0.01724 | coarse loss: 0.02791 
epoch 162: loss: 0.01729 | coarse loss: 0.02795 
epoch 163: loss: 0.01714 | coarse loss: 0.02783 
epoch 164: loss: 0.01723 | coarse loss: 0.02795 
epoch 165: loss: 0.01732 | coarse loss: 0.02809 
epoch 166: loss: 0.01721 | coarse loss: 0.02793 
epoch 167: loss: 0.01724 | coarse loss: 0.02803 
epoch 168: loss: 0.01721 | coarse loss: 0.02802 
epoch 169: loss: 0.01714 | coarse loss: 0.02783 
epoch 170: loss: 0.01711 | coarse loss: 0.02783 
epoch 171: loss: 0.01713 | coarse loss: 0.02788 
epoch 172: loss: 0.01710 | coarse loss: 0.02783 
epoch 173: loss: 0.01708 | coarse loss: 0.02783 
epoch 174: loss: 0.01747 | coarse loss: 0.02845 
epoch 175: loss: 0.01719 | coarse loss: 0.02796 
epoch 176: loss: 0.01716 | coarse loss: 0.02800 
epoch 177: loss: 0.01722 | coarse loss: 0.02803 
epoch 178: loss: 0.01708 | coarse loss: 0.02783 
epoch 179: loss: 0.01711 | coarse loss: 0.02794 
epoch 180: loss: 0.01716 | coarse loss: 0.02802 
epoch 181: loss: 0.01707 | coarse loss: 0.02788 
epoch 182: loss: 0.01713 | coarse loss: 0.02799 
epoch 183: loss: 0.01715 | coarse loss: 0.02802 
epoch 184: loss: 0.01724 | coarse loss: 0.02813 
epoch 185: loss: 0.01714 | coarse loss: 0.02802 
epoch 186: loss: 0.01719 | coarse loss: 0.02803 
epoch 187: loss: 0.01710 | coarse loss: 0.02796 
epoch 188: loss: 0.01715 | coarse loss: 0.02804 
epoch 189: loss: 0.01710 | coarse loss: 0.02796 
epoch 190: loss: 0.01714 | coarse loss: 0.02805 
epoch 191: loss: 0.01719 | coarse loss: 0.02808 
epoch 192: loss: 0.01699 | coarse loss: 0.02783 
epoch 193: loss: 0.01700 | coarse loss: 0.02783 
epoch 194: loss: 0.01703 | coarse loss: 0.02783 
epoch 195: loss: 0.01710 | coarse loss: 0.02791 
epoch 196: loss: 0.01709 | coarse loss: 0.02801 
epoch 197: loss: 0.01700 | coarse loss: 0.02783 
epoch 198: loss: 0.01704 | coarse loss: 0.02795 
epoch 199: loss: 0.01711 | coarse loss: 0.02802 
epoch 200: loss: 0.01710 | coarse loss: 0.02803 
epoch 201: loss: 0.01705 | coarse loss: 0.02796 
epoch 202: loss: 0.01699 | coarse loss: 0.02783 
epoch 203: loss: 0.01696 | coarse loss: 0.02783 
epoch 204: loss: 0.01702 | coarse loss: 0.02796 
epoch 205: loss: 0.01699 | coarse loss: 0.02790 
epoch 206: loss: 0.01698 | coarse loss: 0.02790 
epoch 207: loss: 0.01699 | coarse loss: 0.02787 
epoch 208: loss: 0.01705 | coarse loss: 0.02800 
epoch 209: loss: 0.01701 | coarse loss: 0.02791 
epoch 210: loss: 0.01700 | coarse loss: 0.02792 
epoch 211: loss: 0.01709 | coarse loss: 0.02812 
epoch 212: loss: 0.01703 | coarse loss: 0.02800 
epoch 213: loss: 0.01693 | coarse loss: 0.02783 
epoch 214: loss: 0.01699 | coarse loss: 0.02790 
epoch 215: loss: 0.01696 | coarse loss: 0.02792 
epoch 216: loss: 0.01704 | coarse loss: 0.02801 
epoch 217: loss: 0.01707 | coarse loss: 0.02811 
epoch 218: loss: 0.01698 | coarse loss: 0.02791 
epoch 219: loss: 0.01700 | coarse loss: 0.02797 
epoch 220: loss: 0.01696 | coarse loss: 0.02790 
epoch 221: loss: 0.01709 | coarse loss: 0.02810 
epoch 222: loss: 0.01699 | coarse loss: 0.02801 
epoch 223: loss: 0.01707 | coarse loss: 0.02811 
epoch 224: loss: 0.01699 | coarse loss: 0.02806 
epoch 225: loss: 0.01690 | coarse loss: 0.02786 
epoch 226: loss: 0.01703 | coarse loss: 0.02801 
epoch 227: loss: 0.01696 | coarse loss: 0.02795 
epoch 228: loss: 0.01691 | coarse loss: 0.02788 
epoch 229: loss: 0.01695 | coarse loss: 0.02795 
epoch 230: loss: 0.01694 | coarse loss: 0.02795 
epoch 231: loss: 0.01695 | coarse loss: 0.02797 
epoch 232: loss: 0.01696 | coarse loss: 0.02796 
epoch 233: loss: 0.01707 | coarse loss: 0.02814 
epoch 234: loss: 0.01702 | coarse loss: 0.02806 
epoch 235: loss: 0.01689 | coarse loss: 0.02787 
epoch 236: loss: 0.01707 | coarse loss: 0.02817 
epoch 237: loss: 0.01703 | coarse loss: 0.02809 
epoch 238: loss: 0.01696 | coarse loss: 0.02806 
epoch 239: loss: 0.01685 | coarse loss: 0.02783 
epoch 240: loss: 0.01691 | coarse loss: 0.02796 
epoch 241: loss: 0.01687 | coarse loss: 0.02787 
epoch 242: loss: 0.01701 | coarse loss: 0.02820 
epoch 243: loss: 0.01682 | coarse loss: 0.02783 
epoch 244: loss: 0.01688 | coarse loss: 0.02790 
epoch 245: loss: 0.01683 | coarse loss: 0.02783 
epoch 246: loss: 0.01690 | coarse loss: 0.02795 
epoch 247: loss: 0.01682 | coarse loss: 0.02783 
epoch 248: loss: 0.01686 | coarse loss: 0.02792 
epoch 249: loss: 0.01692 | coarse loss: 0.02799 
epoch 250: loss: 0.01688 | coarse loss: 0.02796 
epoch 251: loss: 0.01683 | coarse loss: 0.02783 
epoch 252: loss: 0.01677 | coarse loss: 0.02783 
epoch 253: loss: 0.01680 | coarse loss: 0.02783 
epoch 254: loss: 0.01688 | coarse loss: 0.02798 
epoch 255: loss: 0.01681 | coarse loss: 0.02789 
epoch 256: loss: 0.01683 | coarse loss: 0.02789 
epoch 257: loss: 0.01679 | coarse loss: 0.02783 
epoch 258: loss: 0.01680 | coarse loss: 0.02783 
epoch 259: loss: 0.01684 | coarse loss: 0.02786 
epoch 260: loss: 0.01689 | coarse loss: 0.02799 
epoch 261: loss: 0.01690 | coarse loss: 0.02804 
epoch 262: loss: 0.01688 | coarse loss: 0.02801 
epoch 263: loss: 0.01676 | coarse loss: 0.02783 
epoch 264: loss: 0.01701 | coarse loss: 0.02817 
epoch 265: loss: 0.01684 | coarse loss: 0.02792 
epoch 266: loss: 0.01696 | coarse loss: 0.02806 
epoch 267: loss: 0.01692 | coarse loss: 0.02810 
epoch 268: loss: 0.01692 | coarse loss: 0.02804 
epoch 269: loss: 0.01676 | coarse loss: 0.02783 
epoch 270: loss: 0.01687 | coarse loss: 0.02801 
epoch 271: loss: 0.01683 | coarse loss: 0.02793 
epoch 272: loss: 0.01676 | coarse loss: 0.02783 
epoch 273: loss: 0.01675 | coarse loss: 0.02783 
epoch 274: loss: 0.01681 | coarse loss: 0.02795 
epoch 275: loss: 0.01683 | coarse loss: 0.02795 
epoch 276: loss: 0.01678 | coarse loss: 0.02786 
epoch 277: loss: 0.01673 | coarse loss: 0.02783 
epoch 278: loss: 0.01682 | coarse loss: 0.02797 
epoch 279: loss: 0.01671 | coarse loss: 0.02783 
epoch 280: loss: 0.01678 | coarse loss: 0.02794 
epoch 281: loss: 0.01681 | coarse loss: 0.02799 
epoch 282: loss: 0.01676 | coarse loss: 0.02788 
epoch 283: loss: 0.01677 | coarse loss: 0.02790 
epoch 284: loss: 0.01686 | coarse loss: 0.02801 
epoch 285: loss: 0.01674 | coarse loss: 0.02783 
epoch 286: loss: 0.01699 | coarse loss: 0.02822 
epoch 287: loss: 0.01685 | coarse loss: 0.02798 
epoch 288: loss: 0.01689 | coarse loss: 0.02809 
epoch 289: loss: 0.01678 | coarse loss: 0.02791 
epoch 290: loss: 0.01678 | coarse loss: 0.02791 
epoch 291: loss: 0.01680 | coarse loss: 0.02792 
epoch 292: loss: 0.01670 | coarse loss: 0.02783 
epoch 293: loss: 0.01670 | coarse loss: 0.02783 
epoch 294: loss: 0.01677 | coarse loss: 0.02794 
epoch 295: loss: 0.01669 | coarse loss: 0.02783 
epoch 296: loss: 0.01676 | coarse loss: 0.02792 
epoch 297: loss: 0.01675 | coarse loss: 0.02795 
epoch 298: loss: 0.01682 | coarse loss: 0.02798 
epoch 299: loss: 0.01679 | coarse loss: 0.02795 
epoch 300: loss: 0.01679 | coarse loss: 0.02790 
epoch 301: loss: 0.01680 | coarse loss: 0.02804 
epoch 302: loss: 0.01681 | coarse loss: 0.02804 
epoch 303: loss: 0.01675 | coarse loss: 0.02794 
epoch 304: loss: 0.01677 | coarse loss: 0.02803 
epoch 305: loss: 0.01675 | coarse loss: 0.02797 
epoch 306: loss: 0.01668 | coarse loss: 0.02783 
epoch 307: loss: 0.01669 | coarse loss: 0.02783 
epoch 308: loss: 0.01678 | coarse loss: 0.02803 
epoch 309: loss: 0.01679 | coarse loss: 0.02802 
epoch 310: loss: 0.01676 | coarse loss: 0.02798 
epoch 311: loss: 0.01680 | coarse loss: 0.02804 
epoch 312: loss: 0.01669 | coarse loss: 0.02784 
epoch 313: loss: 0.01672 | coarse loss: 0.02795 
epoch 314: loss: 0.01677 | coarse loss: 0.02801 
epoch 315: loss: 0.01673 | coarse loss: 0.02792 
epoch 316: loss: 0.01675 | coarse loss: 0.02797 
epoch 317: loss: 0.01675 | coarse loss: 0.02796 
epoch 318: loss: 0.01671 | coarse loss: 0.02795 
epoch 319: loss: 0.01674 | coarse loss: 0.02794 
epoch 320: loss: 0.01668 | coarse loss: 0.02787 
epoch 321: loss: 0.01672 | coarse loss: 0.02789 
epoch 322: loss: 0.01672 | coarse loss: 0.02789 
epoch 323: loss: 0.01675 | coarse loss: 0.02800 
epoch 324: loss: 0.01675 | coarse loss: 0.02802 
epoch 325: loss: 0.01662 | coarse loss: 0.02783 
epoch 326: loss: 0.01681 | coarse loss: 0.02810 
epoch 327: loss: 0.01670 | coarse loss: 0.02789 
epoch 328: loss: 0.01675 | coarse loss: 0.02797 
epoch 329: loss: 0.01667 | coarse loss: 0.02783 
epoch 330: loss: 0.01670 | coarse loss: 0.02789 
epoch 331: loss: 0.01668 | coarse loss: 0.02790 
epoch 332: loss: 0.01662 | coarse loss: 0.02783 
epoch 333: loss: 0.01676 | coarse loss: 0.02806 
epoch 334: loss: 0.01674 | coarse loss: 0.02804 
epoch 335: loss: 0.01673 | coarse loss: 0.02795 
epoch 336: loss: 0.01664 | coarse loss: 0.02783 
epoch 337: loss: 0.01670 | coarse loss: 0.02794 
epoch 338: loss: 0.01663 | coarse loss: 0.02783 
epoch 339: loss: 0.01665 | coarse loss: 0.02789 
epoch 340: loss: 0.01662 | coarse loss: 0.02783 
epoch 341: loss: 0.01668 | coarse loss: 0.02791 
epoch 342: loss: 0.01677 | coarse loss: 0.02812 
epoch 343: loss: 0.01663 | coarse loss: 0.02783 
epoch 344: loss: 0.01672 | coarse loss: 0.02800 
epoch 345: loss: 0.01666 | coarse loss: 0.02794 
epoch 346: loss: 0.01676 | coarse loss: 0.02805 
epoch 347: loss: 0.01674 | coarse loss: 0.02800 
epoch 348: loss: 0.01678 | coarse loss: 0.02811 
epoch 349: loss: 0.01668 | coarse loss: 0.02794 
epoch 350: loss: 0.01674 | coarse loss: 0.02799 
epoch 351: loss: 0.01661 | coarse loss: 0.02783 
epoch 352: loss: 0.01660 | coarse loss: 0.02783 
epoch 353: loss: 0.01664 | coarse loss: 0.02786 
epoch 354: loss: 0.01661 | coarse loss: 0.02783 
epoch 355: loss: 0.01668 | coarse loss: 0.02794 
epoch 356: loss: 0.01671 | coarse loss: 0.02797 
epoch 357: loss: 0.01671 | coarse loss: 0.02804 
epoch 358: loss: 0.01668 | coarse loss: 0.02794 
epoch 359: loss: 0.01659 | coarse loss: 0.02783 
epoch 360: loss: 0.01675 | coarse loss: 0.02809 
epoch 361: loss: 0.01663 | coarse loss: 0.02784 
epoch 362: loss: 0.01673 | coarse loss: 0.02805 
epoch 363: loss: 0.01670 | coarse loss: 0.02796 
epoch 364: loss: 0.01659 | coarse loss: 0.02783 
epoch 365: loss: 0.01669 | coarse loss: 0.02803 
epoch 366: loss: 0.01668 | coarse loss: 0.02794 
epoch 367: loss: 0.01662 | coarse loss: 0.02788 
epoch 368: loss: 0.01670 | coarse loss: 0.02803 
epoch 369: loss: 0.01661 | coarse loss: 0.02783 
epoch 370: loss: 0.01667 | coarse loss: 0.02791 
epoch 371: loss: 0.01671 | coarse loss: 0.02805 
epoch 372: loss: 0.01670 | coarse loss: 0.02805 
epoch 373: loss: 0.01680 | coarse loss: 0.02820 
epoch 374: loss: 0.01674 | coarse loss: 0.02810 
epoch 375: loss: 0.01660 | coarse loss: 0.02789 
epoch 376: loss: 0.01666 | coarse loss: 0.02796 
epoch 377: loss: 0.01660 | coarse loss: 0.02783 
epoch 378: loss: 0.01683 | coarse loss: 0.02822 
epoch 379: loss: 0.01667 | coarse loss: 0.02801 
epoch 380: loss: 0.01673 | coarse loss: 0.02804 
epoch 381: loss: 0.01666 | coarse loss: 0.02797 
epoch 382: loss: 0.01656 | coarse loss: 0.02783 
epoch 383: loss: 0.01661 | coarse loss: 0.02787 
epoch 384: loss: 0.01656 | coarse loss: 0.02783 
epoch 385: loss: 0.01691 | coarse loss: 0.02836 
epoch 386: loss: 0.01659 | coarse loss: 0.02789 
epoch 387: loss: 0.01669 | coarse loss: 0.02808 
epoch 388: loss: 0.01664 | coarse loss: 0.02793 
epoch 389: loss: 0.01662 | coarse loss: 0.02796 
epoch 390: loss: 0.01659 | coarse loss: 0.02792 
epoch 391: loss: 0.01658 | coarse loss: 0.02785 
epoch 392: loss: 0.01663 | coarse loss: 0.02795 
epoch 393: loss: 0.01660 | coarse loss: 0.02786 
epoch 394: loss: 0.01658 | coarse loss: 0.02787 
epoch 395: loss: 0.01674 | coarse loss: 0.02812 
epoch 396: loss: 0.01665 | coarse loss: 0.02799 
epoch 397: loss: 0.01670 | coarse loss: 0.02807 
epoch 398: loss: 0.01665 | coarse loss: 0.02796 
epoch 399: loss: 0.01666 | coarse loss: 0.02806 
epoch 400: loss: 0.01660 | coarse loss: 0.02796 
epoch 401: loss: 0.01661 | coarse loss: 0.02793 
epoch 402: loss: 0.01657 | coarse loss: 0.02789 
epoch 403: loss: 0.01661 | coarse loss: 0.02796 
epoch 404: loss: 0.01658 | coarse loss: 0.02791 
epoch 405: loss: 0.01657 | coarse loss: 0.02788 
epoch 406: loss: 0.01652 | coarse loss: 0.02783 
epoch 407: loss: 0.01653 | coarse loss: 0.02783 
epoch 408: loss: 0.01663 | coarse loss: 0.02803 
epoch 409: loss: 0.01657 | coarse loss: 0.02794 
epoch 410: loss: 0.01669 | coarse loss: 0.02812 
epoch 411: loss: 0.01653 | coarse loss: 0.02783 
epoch 412: loss: 0.01669 | coarse loss: 0.02804 
epoch 413: loss: 0.01651 | coarse loss: 0.02783 
epoch 414: loss: 0.01663 | coarse loss: 0.02802 
epoch 415: loss: 0.01668 | coarse loss: 0.02812 
epoch 416: loss: 0.01663 | coarse loss: 0.02800 
epoch 417: loss: 0.01660 | coarse loss: 0.02795 
epoch 418: loss: 0.01659 | coarse loss: 0.02795 
epoch 419: loss: 0.01660 | coarse loss: 0.02797 
epoch 420: loss: 0.01670 | coarse loss: 0.02811 
epoch 421: loss: 0.01656 | coarse loss: 0.02786 
epoch 422: loss: 0.01653 | coarse loss: 0.02783 
epoch 423: loss: 0.01666 | coarse loss: 0.02804 
epoch 424: loss: 0.01663 | coarse loss: 0.02801 
epoch 425: loss: 0.01660 | coarse loss: 0.02802 
epoch 426: loss: 0.01650 | coarse loss: 0.02783 
epoch 427: loss: 0.01662 | coarse loss: 0.02798 
epoch 428: loss: 0.01666 | coarse loss: 0.02813 
epoch 429: loss: 0.01656 | coarse loss: 0.02794 
epoch 430: loss: 0.01651 | coarse loss: 0.02783 
epoch 431: loss: 0.01663 | coarse loss: 0.02807 
epoch 432: loss: 0.01663 | coarse loss: 0.02806 
epoch 433: loss: 0.01662 | coarse loss: 0.02802 
epoch 434: loss: 0.01664 | coarse loss: 0.02804 
epoch 435: loss: 0.01662 | coarse loss: 0.02804 
epoch 436: loss: 0.01652 | coarse loss: 0.02786 
epoch 437: loss: 0.01654 | coarse loss: 0.02794 
epoch 438: loss: 0.01650 | coarse loss: 0.02783 
epoch 439: loss: 0.01656 | coarse loss: 0.02796 
epoch 440: loss: 0.01660 | coarse loss: 0.02800 
epoch 441: loss: 0.01653 | coarse loss: 0.02788 
epoch 442: loss: 0.01649 | coarse loss: 0.02783 
epoch 443: loss: 0.01652 | coarse loss: 0.02790 
epoch 444: loss: 0.01654 | coarse loss: 0.02795 
epoch 445: loss: 0.01651 | coarse loss: 0.02783 
epoch 446: loss: 0.01674 | coarse loss: 0.02825 
epoch 447: loss: 0.01666 | coarse loss: 0.02805 
epoch 448: loss: 0.01650 | coarse loss: 0.02783 
epoch 449: loss: 0.01649 | coarse loss: 0.02783 
epoch 450: loss: 0.01659 | coarse loss: 0.02797 
epoch 451: loss: 0.01667 | coarse loss: 0.02819 
epoch 452: loss: 0.01652 | coarse loss: 0.02789 
epoch 453: loss: 0.01656 | coarse loss: 0.02797 
epoch 454: loss: 0.01646 | coarse loss: 0.02783 
epoch 455: loss: 0.01657 | coarse loss: 0.02799 
epoch 456: loss: 0.01654 | coarse loss: 0.02795 
epoch 457: loss: 0.01654 | coarse loss: 0.02794 
epoch 458: loss: 0.01652 | coarse loss: 0.02793 
epoch 459: loss: 0.01662 | coarse loss: 0.02804 
epoch 460: loss: 0.01665 | coarse loss: 0.02809 
epoch 461: loss: 0.01647 | coarse loss: 0.02783 
epoch 462: loss: 0.01659 | coarse loss: 0.02799 
epoch 463: loss: 0.01664 | coarse loss: 0.02813 
epoch 464: loss: 0.01656 | coarse loss: 0.02800 
epoch 465: loss: 0.01656 | coarse loss: 0.02798 
epoch 466: loss: 0.01660 | coarse loss: 0.02802 
epoch 467: loss: 0.01656 | coarse loss: 0.02792 
epoch 468: loss: 0.01659 | coarse loss: 0.02800 
epoch 469: loss: 0.01659 | coarse loss: 0.02800 
epoch 470: loss: 0.01663 | coarse loss: 0.02809 
epoch 471: loss: 0.01664 | coarse loss: 0.02811 
epoch 472: loss: 0.01662 | coarse loss: 0.02805 
epoch 473: loss: 0.01660 | coarse loss: 0.02801 
epoch 474: loss: 0.01650 | coarse loss: 0.02792 
epoch 475: loss: 0.01646 | coarse loss: 0.02783 
